No;Pesan;Panjang Pesan;Waktu Enkripsi (ms);Waktu Dekripsi (ms);Waktu menurunkan kunci bersama (ms)
90;Ut exercitation ut incididunt magna. Magna veniam laborum laboris commodo dolore aute ullamco sunt velit veniam magna velit officia.;132;0.002356ms;0.00197ms;2.25675ms
91;Aliqua dolore minim aliqua in ullamco amet mollit eiusmod consectetur veniam. Laboris Lorem enim occaecat officia eu elit.;122;0.002708ms;0.001914ms;2.250389ms
92;Nulla cillum aliquip enim Lorem non est non culpa est officia voluptate tempor. Pariatur magna laborum nulla cupidatat.;119;0.002139ms;0.001773ms;2.249022ms
93;Lorem mollit ut elit pariatur qui et ut pariatur Lorem incididunt id mollit eu. Et elit esse in fugiat irure excepteur nisi do tempor ex cillum.;144;0.002589ms;0.002022ms;2.254ms
94;Nulla ut Lorem commodo magna tempor sit laboris qui exercitation quis amet duis fugiat. Do do incididunt voluptate ex officia eiusmod occaecat quis duis non.;157;0.002393ms;0.002031ms;2.259745ms
95;Quis est dolor veniam officia adipisicing qui non aliquip proident proident. Consequat quis elit cillum ea adipisicing laboris id laboris esse commodo minim.;157;0.00236ms;0.002068ms;2.249587ms
96;Eiusmod nulla veniam cupidatat laboris deserunt fugiat cillum ad ipsum. Magna labore occaecat aute minim est quis Lorem consectetur aliqua do ad sint esse deserunt.;164;0.002945ms;0.002258ms;2.301818ms
97;Veniam eu labore eiusmod sint proident. Enim anim nostrud reprehenderit occaecat aliquip nulla.;95;0.002087ms;0.001602ms;2.354958ms
98;Dolore ea ex eiusmod anim in duis fugiat qui eiusmod esse ex esse nulla. Deserunt dolore nisi consectetur commodo elit aute anim esse.;134;0.002399ms;0.001964ms;2.361033ms
99;Sint cillum ad labore voluptate mollit adipisicing exercitation est deserunt esse velit deserunt Lorem dolore. Culpa irure commodo est aliqua ullamco.;150;0.002445ms;0.002085ms;2.26806ms
100;Duis dolor cillum labore fugiat ut. Laboris qui laboris esse laboris est fugiat anim voluptate est nisi eiusmod.;112;0.002656ms;0.001854ms;2.261045ms
101;Deserunt reprehenderit laborum ad eu elit aliquip proident in dolore ipsum. Reprehenderit culpa commodo aliqua minim laborum occaecat sit nostrud.;146;0.002854ms;0.002162ms;2.256695ms
102;Enim laborum sunt Lorem consectetur aute duis. Labore anim anim ea adipisicing consequat ad ullamco.;100;0.002795ms;0.001966ms;2.265318ms
103;Dolore est do sunt aliquip irure consectetur occaecat id sint do ullamco adipisicing. Ad dolore eu elit eu veniam deserunt.;123;0.003056ms;0.001995ms;2.271145ms
104;Do Lorem et velit laborum cillum ex veniam qui aliqua reprehenderit quis irure commodo veniam. Aute tempor duis proident cillum magna enim.;139;0.002227ms;0.001935ms;2.252731ms
105;Aliqua duis duis veniam tempor dolor. Proident proident sit dolore amet do in irure.;84;0.002225ms;0.001572ms;2.305024ms
106;Eiusmod officia tempor aliqua proident ullamco duis. Pariatur cillum deserunt voluptate consectetur elit incididunt Lorem sint ipsum magna nulla ea Lorem aliquip.;162;0.003ms;0.002295ms;2.268389ms
107;Exercitation do ex nisi exercitation incididunt. Id ex nostrud ex pariatur consectetur occaecat veniam.;103;0.002122ms;0.001691ms;2.259112ms
108;Sunt voluptate Lorem amet velit deserunt exercitation qui nostrud exercitation quis. Non mollit Lorem Lorem reprehenderit consequat fugiat officia sint reprehenderit reprehenderit eiusmod laboris.;196;0.003324ms;0.002525ms;2.25391ms
109;Ex laboris ex sit velit anim cillum sint. Reprehenderit esse ea magna elit qui id est.;86;0.00185ms;0.0015ms;2.251237ms
110;Qui sit pariatur tempor sit irure amet. Enim Lorem in consectetur mollit fugiat culpa aliquip ullamco magna sunt id culpa nostrud officia.;138;0.00247ms;0.001954ms;2.2646ms
111;Ad aliqua velit ut esse fugiat laborum adipisicing exercitation in id. Officia aliqua nisi ea nulla sit adipisicing aute proident ad.;133;0.002358ms;0.001927ms;2.262018ms
112;Sit ea et excepteur in proident. Tempor dolore ex in fugiat ipsum reprehenderit nulla adipisicing irure sint esse nisi.;119;0.010797ms;0.002466ms;2.634331ms
113;Commodo tempor laborum magna ut dolor pariatur velit. Eiusmod quis sit voluptate irure pariatur velit sint elit veniam.;119;0.013356ms;0.003593ms;3.054112ms
114;Velit anim nisi id occaecat velit ad aliquip id occaecat. Elit anim ad mollit ullamco.;86;0.00525ms;0.002102ms;3.95187ms
115;Fugiat nulla sit enim voluptate dolor veniam ea fugiat anim id eiusmod elit adipisicing. Voluptate consequat eu labore ex consectetur cupidatat mollit non aliqua proident.;171;0.021983ms;0.004289ms;4.686893ms
116;Ea id laboris excepteur consequat cillum nostrud ea ut. Ipsum enim reprehenderit nostrud velit adipisicing dolore.;114;0.014168ms;0.002362ms;2.44435ms
117;Aliquip dolor incididunt cillum nisi tempor nulla. Proident ex deserunt officia labore minim non cillum cupidatat do.;117;0.003335ms;0.002035ms;2.316616ms
118;Laboris excepteur consectetur consectetur consectetur deserunt consectetur proident ex dolore laboris. Excepteur adipisicing deserunt occaecat enim excepteur sit elit veniam est aliquip.;186;0.003795ms;0.002468ms;2.322712ms
119;Et cupidatat in eu et ullamco mollit consectetur sint laborum voluptate ad est. Quis non voluptate aliqua duis consequat labore.;128;0.003445ms;0.002197ms;2.331681ms
120;Pariatur dolor incididunt nisi dolor aliqua cillum. Dolor anim voluptate officia do deserunt occaecat in eu eiusmod aliqua.;123;0.003302ms;0.002237ms;2.319185ms
121;Do magna minim qui aliqua adipisicing ea minim dolore sunt non est commodo tempor. Excepteur laborum commodo id ex dolore eiusmod adipisicing id aliqua pariatur elit consequat officia ea.;187;0.00441ms;0.002477ms;2.32712ms
122;Laborum in veniam magna voluptate eiusmod. Minim enim fugiat quis excepteur tempor et.;86;0.034706ms;0.004254ms;3.298408ms
123;Consequat in eiusmod qui tempor eu anim officia id excepteur. Dolore et ad magna voluptate excepteur consequat officia.;119;0.006279ms;0.002162ms;2.283349ms
124;Mollit adipisicing deserunt velit incididunt laboris deserunt ut tempor nisi reprehenderit. Anim exercitation eiusmod irure ex culpa.;133;0.007185ms;0.003385ms;4.758227ms
125;Consectetur culpa est amet duis non eiusmod quis nostrud. Est ea id consequat sunt proident ut laborum.;103;0.006104ms;0.002325ms;2.897658ms
126;Laboris est qui duis cillum id adipisicing laboris et. Ad velit id sint irure sunt nulla esse ex mollit.;104;0.004204ms;0.002458ms;2.466027ms
127;Proident id sunt ipsum elit et. Ut minim magna labore commodo voluptate et nulla ex labore do.;94;0.002483ms;0.001637ms;2.279625ms
128;Elit fugiat Lorem minim elit incididunt adipisicing irure aliquip officia sunt exercitation labore velit. Ipsum qui eiusmod eu veniam voluptate ad in.;150;0.00347ms;0.002247ms;2.35645ms
129;Elit consequat labore velit amet labore eiusmod nostrud eu nulla quis. Duis sit aliquip nostrud minim dolor sint et commodo voluptate in velit reprehenderit eu anim.;165;0.00401ms;0.002352ms;2.2969ms
130;Laboris irure nostrud incididunt mollit elit consequat pariatur tempor commodo aute in. Laborum esse proident anim cupidatat veniam incididunt dolor enim laborum quis ad et dolor aliquip.;187;0.003079ms;0.002366ms;2.282279ms
131;Labore fugiat dolore eu excepteur. Incididunt laborum ullamco ad non magna.;75;0.002347ms;0.00165ms;2.271806ms
132;Culpa mollit labore fugiat enim reprehenderit ipsum consequat voluptate irure sunt. Proident officia reprehenderit aliquip fugiat.;130;0.002308ms;0.001948ms;2.259074ms
133;Ea labore sint aute laboris pariatur dolore pariatur. Ullamco minim enim cillum mollit quis occaecat cupidatat enim fugiat.;123;0.002331ms;0.001829ms;2.268306ms
134;Quis eiusmod ullamco excepteur elit tempor quis velit dolor. Nisi irure deserunt ut irure consectetur laboris est.;114;0.002193ms;0.001756ms;2.265537ms
135;Laborum sunt ad mollit mollit reprehenderit Lorem non non ut minim deserunt laboris reprehenderit minim. Sunt veniam consequat nulla deserunt officia ad ullamco.;161;0.006ms;0.00227ms;2.259368ms
136;Sunt esse sunt ea sunt deserunt incididunt veniam esse mollit est voluptate et est ipsum. Commodo exercitation elit proident velit ullamco quis esse qui.;153;0.002539ms;0.002027ms;2.257431ms
137;Irure laborum ea dolore do aliqua aute nostrud anim non aliquip Lorem ex. Cillum elit exercitation sint qui exercitation esse pariatur aliqua qui minim in id.;158;0.002625ms;0.002102ms;2.298393ms
138;Eu nisi non ea magna reprehenderit enim minim. Sunt mollit incididunt ad officia est do duis cupidatat ex labore laboris velit ea magna.;136;0.006522ms;0.002652ms;2.550435ms
139;Ipsum consequat pariatur minim nostrud. Qui aute esse magna adipisicing deserunt tempor cupidatat quis.;103;1.378197ms;0.018158ms;8.412781ms
140;Mollit ex pariatur aliquip in. Ullamco cillum tempor veniam et proident non.;76;0.013066ms;0.003547ms;3.427733ms
141;Qui ad cillum officia do reprehenderit est voluptate aliquip. Officia minim consequat nostrud aliqua incididunt.;112;0.010966ms;0.002985ms;4.454845ms
142;Incididunt eiusmod do nisi excepteur sunt do sit. Eiusmod sunt pariatur fugiat in commodo culpa tempor.;103;0.005106ms;0.002212ms;2.374339ms
143;Officia reprehenderit exercitation magna in minim magna duis dolor consectetur id ad ullamco eiusmod quis. Ut ex nulla id ut velit ut dolore proident culpa sunt ex ullamco proident ullamco.;189;0.00495ms;0.003022ms;2.54001ms
144;Laborum est incididunt id in. Duis consequat velit quis pariatur nulla sint aute.;81;0.004168ms;0.00196ms;2.43705ms
145;Voluptate ad ipsum ipsum Lorem exercitation cillum cillum veniam proident ex. Anim pariatur ad eiusmod esse laborum est exercitation proident officia ea est exercitation.;170;0.003168ms;0.002387ms;2.29277ms
146;Et proident consectetur anim ullamco aute quis sunt dolore ut. Sint qui aute nisi in amet Lorem ea tempor ex.;109;0.002368ms;0.001752ms;2.2875ms
147;Consequat non Lorem magna culpa. Voluptate dolor occaecat aute amet quis ipsum ex labore velit nostrud nostrud.;111;0.003014ms;0.001854ms;2.299597ms
148;Incididunt est eu eiusmod esse ea elit. Ad adipisicing fugiat labore occaecat ex ad occaecat laboris deserunt anim duis.;120;0.002181ms;0.001787ms;2.256647ms
149;Exercitation dolore qui amet id nulla amet culpa sit do amet cupidatat et sint. Sit minim excepteur anim consectetur incididunt laborum proident esse sunt aliqua culpa.;168;0.002537ms;0.002137ms;2.264931ms
150;Dolore irure consectetur ipsum nulla ea tempor aute in fugiat enim irure. Eiusmod dolor duis amet in ullamco.;109;0.002156ms;0.001643ms;2.260193ms
151;Minim ad commodo in ut nisi eiusmod exercitation deserunt labore Lorem esse veniam. Non incididunt enim amet reprehenderit nulla officia dolore aliqua ipsum labore consectetur labore.;183;0.002587ms;0.002283ms;2.261431ms
152;Minim nisi et dolore adipisicing. Occaecat in elit do dolore anim adipisicing amet minim cupidatat.;99;0.006058ms;0.001762ms;2.274495ms
153;Sunt in enim incididunt amet nulla commodo quis consectetur adipisicing. Duis et incididunt culpa non adipisicing nulla exercitation est.;137;0.002252ms;0.001997ms;2.261162ms
154;Non sunt elit ex est est voluptate irure occaecat ea. Reprehenderit pariatur Lorem in duis deserunt adipisicing ipsum enim anim dolore minim aliquip nulla ad.;158;0.005814ms;0.002118ms;2.253847ms
155;Deserunt proident pariatur et velit cupidatat et sunt. Consectetur mollit ea cupidatat deserunt id nisi irure laboris duis esse voluptate laborum excepteur.;156;0.002768ms;0.002127ms;2.270454ms
156;Ex culpa anim velit anim tempor sit dolor incididunt. Et quis Lorem commodo excepteur nulla cupidatat.;102;0.002139ms;0.001675ms;2.261537ms
157;Veniam eu culpa et aliqua irure est cupidatat sunt eu ipsum culpa sunt excepteur. Sunt ad incididunt commodo ipsum duis qui excepteur consectetur.;146;0.002406ms;0.002079ms;2.250845ms
158;Ea Lorem reprehenderit elit aliqua. Aliqua non proident id amet nostrud duis deserunt non reprehenderit eiusmod culpa laborum exercitation ullamco.;147;0.002352ms;0.002018ms;2.26247ms
159;Aliquip elit deserunt nostrud consectetur elit reprehenderit voluptate non. Reprehenderit quis irure eu qui ea non et commodo ex ipsum occaecat nulla.;150;0.002466ms;0.002035ms;2.254222ms
